SEQ,LOCAL_ED,DATA,MES,H_INICIO,DUR_H,dist_m,u,v,key
7.0,PC DA BANDEIRA,01/01/2019,1.0,18:34:00,0.82,0.22843589914430332,25928964,8377467363,0
13.0,PC DA BANDEIRA,03/01/2019,1.0,17:27:00,0.25,14.814893749416926,60685465,285488804,0
14.0,AV VINTE E TRES DE MAIO,03/01/2019,1.0,19:43:00,0.58,3.0289683999580093,3278570091,7284727152,0
15.0,TUN PAPA JOAO PAULO II,03/01/2019,1.0,19:52:00,0.2,1.6745038316763743,3345691430,4530629173,0
22.0,R DA CANTAREIRA,04/01/2019,1.0,14:45:00,0.3,0.27060023331123556,133485708,1938339357,0
28.0,R PAULA SOUSA,04/01/2019,1.0,15:04:00,0.82,0.235990227652425,2580258671,5128445340,0
32.0,AV MERCURIO,04/01/2019,1.0,15:56:00,2.0,0.38494780200305045,661212028,8659531010,0
33.0,AV SEN QUEIROS,04/01/2019,1.0,17:52:00,1.63,10.199655586787538,1938339389,5129396761,0
41.0,PC DA BANDEIRA,08/01/2019,1.0,16:22:00,1.42,3.0289683999580093,3278570091,7284727152,0
42.0,AV LACERDA FRANCO,08/01/2019,1.0,16:48:00,1.53,9.064060410869093,296284916,296285073,0
44.0,AV RIO BRANCO,08/01/2019,1.0,17:09:00,0.8,6.262551181347591,64075366,64095069,0
45.0,AV TERESA CRISTINA,08/01/2019,1.0,17:09:00,0.67,0.41534599417146084,415513303,8013633481,0
54.0,AL SANTOS,11/01/2019,1.0,01:19:00,0.42,0.12865400398626742,60609796,60609797,0
56.0,MARGINAL TIETE,11/01/2019,1.0,16:22:00,1.57,5.510207294251525,25876404,8003522033,0
58.0,MARGINAL TIETE,11/01/2019,1.0,17:40:00,0.08,5.510207294251525,25876404,8003522033,0
77.0,MARGINAL TIETE,17/01/2019,1.0,18:32:00,3.35,2.567864693736313,1964865370,1964865662,0
79.0,R MANOEL DUTRA,17/01/2019,1.0,18:37:00,0.75,1.9584435138444893,2140878170,8404062014,0
81.0,PC DA BANDEIRA,17/01/2019,1.0,18:41:00,0.77,0.22843589914430332,25928964,8377467363,0
82.0,AV RIO BRANCO,17/01/2019,1.0,18:57:00,0.63,6.262551181347591,64075366,64095069,0
84.0,PC QUATORZE BIS,17/01/2019,1.0,19:03:00,0.33,1.7309421122867763,140838867,2584006344,0
87.0,AV MARQ DE SAO VICENTE,17/01/2019,1.0,19:12:00,0.72,1.5448549198413124,2545344487,5522958992,0
88.0,MARGINAL TIETE,17/01/2019,1.0,19:17:00,1.52,2.567864693736313,1964865370,1964865662,0
99.0,R PAULINO GUIMARAES,22/01/2019,1.0,15:04:00,1.27,0.47433194250221544,452091606,2832740797,0
102.0,R MARIA PAULA,22/01/2019,1.0,15:42:00,1.25,1.7610084496230993,395763941,455606272,0
103.0,AV MERCURIO,22/01/2019,1.0,15:56:00,2.98,0.38494780200305045,661212028,8659531010,0
106.0,R CEL ANTONIO DE CARVALHO,22/01/2019,1.0,16:33:00,2.17,0.07731021721359074,4499744470,6346294375,0
109.0,MARGINAL TIETE,22/01/2019,1.0,17:14:00,1.63,5.510207294251525,25876404,8003522033,0
110.0,AV S JOAO,22/01/2019,1.0,17:25:00,1.07,2.167394293641968,1955005725,2283841571,0
